nome,descricao,imagens,nivel,tipo,destaque,repositorio
Sistema Distribuído Chave-Valor,Armazenamento chave-valor distribuído com sincronização gRPC e MQTT entre servidores.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Sistemas_Distribuidos.jpg"]",4,Backend,true,https://github.com/AlonsoRafael/distributed-key-value
AndroidStudio_ChatApp,App de chat em tempo real com Firebase para autenticação e banco de dados NoSQL.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/chatApp.png"]",4,Mobile,true,https://github.com/AlonsoRafael/AndroidStudio_ChatApp
Portal de Anúncios Veiculares,Aplicação Full-Stack completa com PHP e MySQL para gestão de anúncios.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Freeze_Monster.png"]",3,Full Stack,true,https://github.com/AlonsoRafael/portal-veiculos
Site_SattvaQuiropraxia,Landing page profissional otimizada para clínica com foco em UI/UX e performance.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Freeze_Monster.png"]",2,Frontend,true,https://github.com/AlonsoRafael/Site_SattvaQuiropraxia
Automação WhatsApp,Orquestração de atendimento inteligente via n8n e Evolution API.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/auto_secretaria.png"]",3,Automação,false,https://github.com/AlonsoRafael/whatsapp-automation
FreezeMonster,Jogo mobile com mecânicas de combate e sistema de progressão.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/Freeze_Monster.png"]",2,Jogo,false,https://github.com/AlonsoRafael/FreezeMonster
Flappy_Bird,Clone do jogo clássico focado em lógica de física e colisões simples.,"["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/flappy_bird.png"]",1,Jogo,false,https://github.com/AlonsoRafael/Flappy_Bird
Calculadora,"Uma calculadora moderna e elegante construída com Python e PySide6, apresentando uma interface gráfica intuitiva com tema escuro.","["https://raw.githubusercontent.com/AlonsoRafael/assets/main/imagens-projetos/calculadora.png"]",1,Frontend,false,https://github.com/AlonsoRafael/Calculadora
